연도,월,주택도시기금1)(억원),국민은행(억원),우리은행(억원),신한은행(억원),한국시티은행(억원),하나은행(억원),농협은행/수협은행(억원),외환은행(억원),기타은행(억원)
2005,1,1019,846,82,95,30,157,57,80,99
2005,2,1144,864,91,97,35,168,36,111,114
2005,3,1828,1234,162,249,54,260,112,171,149
2005,4,2246,1176,209,167,66,291,101,220,111
2005,5,2106,1145,251,164,94,273,150,181,116
2005,6,2334,1532,156,101,59,225,136,162,129
2005,7,1582,1479,227,91,56,213,100,114,97
2005,8,1800,1144,180,147,81,246,91,159,124
2005,9,2062,1203,342,382,101,338,179,158,91
2005,10,2227,1061,245,105,71,329,186,148,129
2005,11,2035,917,138,101,36,367,169,121,124
2005,12,1864,630,220,116,21,255,169,107,93
